Country Name,Country Code,1960,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,,63.57807011,63.4534074,63.32874469,63.20408198,63.07941927,62.95475656,62.83009385,62.70543114,62.58076843,62.45610572,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,60.10532205,59.66009786,59.21487367,58.76964947,58.32442528,57.87920109,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115
阿拉伯联盟国家,ARB,,1.786076798,1.779710346,1.773340738,1.766974298,1.760607857,1.754241426,1.747874986,1.741508546,1.735142105,1.728775665,3.002027967,1.72047383,1.718538434,1.716629651,1.714695751,1.712758798,1.710812455,1.708872217,1.706933506,1.7053773,2.859551987,2.97909048,2.960547902,2.942050711,2.923542713,2.905073453,2.887458066,2.868050195,2.848500463,2.830678707,2.812928807
澳大利亚,AUS,,17.42735899,17.40043867,17.37351835,17.34659802,17.3196777,17.29275738,17.26583705,17.23891673,17.21199641,17.18507608,17.15815576,17.12863335,17.09911094,17.06958853,17.04006613,17.01054372,16.98102131,16.9514989,16.92197649,16.89245408,16.86293167,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456
贝宁,BEN,,42.88001064,42.25922313,41.63843562,41.0176481,40.39686059,39.77607308,39.15528556,38.53449805,37.91371054,37.29292302,36.67213551,36.22871586,35.7852962,35.34187655,34.8984569,34.45503725,34.01161759,33.56819794,33.12477829,32.68135864,32.23793899,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246
巴西,BRA,,70.45802056,70.00565437,69.55328817,69.10092198,68.64855578,68.19618958,67.74382339,67.29145719,66.83909099,66.3867248,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,63.57092009,63.09823238,62.62554468,62.15285698,61.68016927,61.20748157,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
加拿大,CAN,,38.84551156,38.84025859,38.83500562,38.82975264,38.82449967,38.8192467,38.81399372,38.80874075,38.80348778,38.79823481,38.79298183,38.78763071,38.78227958,38.77692846,38.77157733,38.7662262,38.76087508,38.75552395,38.75017283,38.7448217,38.73947058,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251
哥伦比亚,COL,,58.54721947,58.34689139,58.14656332,57.94623524,57.74590717,57.54557909,57.34525101,57.14492294,56.94459486,56.74426679,56.54393871,56.37019288,56.19644705,56.02270122,55.84895539,55.67520955,55.50146372,55.32771789,55.15397206,54.98022623,54.8064804,54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127
德国,DEU,,32.36616733,32.38163435,32.39710137,32.41349679,32.42989316,32.44629046,32.4626887,32.48187939,32.50014326,32.51934208,32.53761284,32.55803955,32.57753827,32.59797598,32.6174843,32.6341897,32.65370498,32.67416181,32.69368672,32.71133932,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73232815,32.68548202,32.68454647,32.68361097,32.68361097,32.68361097
西班牙,ESP,,27.84050136,28.47907056,29.11763976,29.75620895,30.39477815,31.03334735,31.67191655,32.31048574,32.94905494,33.58762414,34.25637275,34.58050028,34.83530779,35.11418641,35.40705557,35.70425174,36.00299812,36.28442027,36.59795108,36.89928809,37.0899382,37.10192046,37.07977849,37.08211351,37.08444853,37.12753247,37.14286858,37.15223392,37.15664678,37.16523359,37.1738204
芬兰,FIN,,71.81893693,72.00617551,72.1934141,72.38065268,72.56789126,72.75512985,72.94236843,73.12960701,73.3168456,73.50408418,73.69132276,73.62446568,73.55760859,73.4907515,73.42389442,73.35703733,73.40585972,73.34372061,73.32256663,73.25555775,73.18854886,73.30086544,73.41077364,73.52068183,73.63059002,73.73564542,73.73564542,73.73321927,73.73321927,73.73321927,73.73321927
加纳,GHA,,43.61545223,43.14272216,42.66999209,42.19726202,41.72453195,41.25180188,40.77907181,40.30634174,39.83361167,39.3608816,38.88815153,38.49012042,38.0920893,37.69405819,37.29602707,36.89799596,36.49996484,36.10193373,35.70390261,35.3058715,34.90784038,34.85291377,34.79798717,34.74306056,34.68813395,34.63320735,34.81691131,35.00061528,35.03234596,35.06407665,35.09585128
洪都拉斯,HND,,62.45222987,62.26498347,62.07773706,61.89049066,61.70324426,61.51599786,61.32875145,61.14150505,60.95425865,60.76701224,60.57976584,60.3985164,60.21726696,60.03601752,59.85476808,59.67351863,59.49226919,59.31101975,59.12977031,58.94852087,58.76727143,58.56771829,58.36816516,58.16861203,57.9690589,57.76950576,57.58378765,57.39663956,57.20940209,57.02216463,56.83492716
伊拉克,IRQ,,1.838260512,1.841461463,1.844662414,1.847863365,1.851064316,1.854265267,1.857466219,1.86066717,1.863868121,1.867069072,1.870270023,1.871870499,1.873470974,1.87507145,1.876671925,1.878272401,1.879872877,1.881473352,1.883073828,1.897909376,1.89952109,1.89952109,1.89952109,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184
意大利,ITA,,25.80582095,26.07085784,26.33589473,26.60093162,26.86596852,27.13100541,27.3960423,27.66107919,27.92611608,28.19115297,28.45618986,28.68018428,28.90417871,29.12520228,29.34917386,29.57314544,29.79711702,30.0210886,30.24506018,30.46903175,30.69300333,30.87593663,31.05886993,31.24180322,31.42473652,31.60766982,31.79060991,31.97355001,31.76875021,31.94948443,32.13021865
利比亚,LBY,,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688
卢森堡,LUX,,34.85596708,34.9382716,35.02057613,35.10288066,35.18518519,35.26748971,35.34979424,35.43209877,35.51440329,35.59670782,35.67901235,35.76131687,35.8436214,35.92592593,36.00823045,36.09053498,36.17283951,36.25514403,36.33744856,36.41975309,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761,36.50205761
毛里求斯,MUS,,20.23152709,20.27389163,20.31625616,20.35862069,20.40098522,20.44334975,20.48571429,20.52807882,20.57044335,20.61280788,20.65517241,20.48078818,20.30640394,20.1320197,19.95763547,19.78325123,19.608867,19.43448276,19.26009852,19.08571429,18.91133005,18.90246305,18.89359606,18.88472906,18.87586207,18.86699507,18.86206897,19.03940887,19.0591133,19.07881773,19.09852217
尼日利亚,NGA,,29.1249053,28.94560097,28.76629665,28.58699233,28.407688,28.22838368,28.04907935,27.86977503,27.6904707,27.51116638,27.33186205,27.15255663,26.97325121,26.79394578,26.61464036,26.43533494,26.25602951,26.07672409,25.89741867,25.71811324,25.53880782,25.3595024,25.18019698,25.00089155,24.82158613,24.64228071,24.46297956,24.28368304,24.1043842,23.92508537,23.74578653
巴拿马,PAN,,61.97740113,61.7550982,61.53279526,61.31049233,61.0881894,60.86588647,60.64358354,60.4212806,60.19897767,59.97667474,59.75437181,59.60082055,59.4472693,59.29371805,59.1401668,58.98661555,58.8330643,58.67951305,58.5259618,58.37241055,58.2188593,58.06529459,57.91172989,57.75816519,57.77558014,57.62155963,57.46762008,57.3135456,57.11568276,56.96172668,56.80790542
葡萄牙,PRT,,37.14754098,37.01857923,36.88961749,36.76065574,36.63169399,36.50273224,36.37377049,36.24480874,36.11584699,35.98688525,35.8579235,35.82622951,35.79453552,35.76284153,35.73114754,35.71116213,35.67945775,35.64775336,35.61604898,35.53772246,35.50605961,35.63707828,35.76809695,35.8931589,36.02399853,36.15499489,36.15499489,36.15499489,36.15499489,36.15499489,36.15499489
新加坡,SGP,,22.12970149,22.4561194,22.78238806,23.10880597,23.43507463,23.76149254,24.08791045,24.4141791,24.74059701,25.06686567,25.39322388,25.50164179,25.42044444,25.08224163,25.1149492,25.22046444,25.14351585,25.21194245,25.13571429,25.23957143,25.27119658,24.83892045,24.40906516,24.0155587,23.58984485,23.23187588,22.9696756,22.72214386,22.46826516,22.21438646,21.96050776
撒哈拉以南非洲地区（不包括高收入）,SSA,,33.0253359,32.88193275,32.73497228,32.66843903,32.52256689,32.37669474,32.23082259,32.08495045,31.9390783,31.79320615,29.25708967,31.4928253,31.33831659,31.18380788,30.84160873,30.68795786,30.53438904,30.38085374,30.22730135,30.0737288,27.64858598,27.78427883,27.62015995,27.45603678,27.29195604,27.12778238,26.95956165,26.79471222,26.62996668,26.46093907,26.29357368
南亚 (IBRD与IDA),TSA,,16.26445526,17.34445321,17.41143458,17.47841596,17.57084655,17.63792508,17.70500364,17.77208217,17.8391607,17.90623923,18.01180495,18.0070544,18.04210894,18.07716347,18.11860643,18.15367332,18.18874022,18.22380712,18.25887402,18.29394089,18.3290078,18.3793483,18.4296888,18.48002931,18.53036981,18.58389229,18.62588919,18.67764166,18.72469844,18.77162604,18.81855363
乌拉圭,URY,,4.559478917,4.885727345,5.211975774,5.538224203,5.864472632,6.19072106,6.516969489,6.843217918,7.169466347,7.495714775,7.821963204,8.028968118,8.235973032,8.442977945,8.649982859,8.856987773,9.063992687,9.2709976,9.478002514,9.685007428,9.892012341,10.10764484,10.32327734,10.53890984,10.75454234,10.97017484,11.12444292,11.24442921,11.3644155,11.48440178,11.60438807
美国,USA,,33.02230821,33.03416545,33.04602269,33.05787993,33.06973718,33.08159442,33.09345166,33.1053089,33.11716614,33.12902338,33.13017359,33.18675561,33.24333764,33.29991967,33.35650169,33.41308372,33.46966575,33.52624777,33.6360635,33.69273522,33.74940694,33.77947006,33.80953318,33.8395963,33.86965942,33.89972254,33.89972254,33.86692641,33.86692641,33.86692641,33.86692641