Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,169822558.4,161610434.9,153398311.4,145186187.9,136974064.4,128761940.9,120549817.4,112337693.9,102003481,101140549,90107053,67484792,77770742,77770742
阿拉伯联盟国家,ARB,4360588723,4198566439,4036544155,3874521872,3712499588,3550477304,3388455021,3190926095,3214140353,2709448295,2819082502,2578343602,2416321318,2254299035
澳大利亚,AUS,3856932148,4467054973,3840218902,4554403979,5598902113,5466439335,5341235827,5455317570,5089628319,5375124781,4795536505,5231519632,6347419691,5597904784
贝宁,BEN,1987136.19,1980146.631,1973157.071,1966167.512,1959177.952,1952188.393,569796,3987990,1561772,579607,4003045,1408703,1203811,2051159
巴西,BRA,9536332657,10794671827,8460823205,8821366135,9144341075,9470908412,9066226970,8794610244,9433008423,10375405701,10715074538,11062943562,9391878571,5944927280
加拿大,CAN,30526426689,30127811631,25642281070,26566354256,27498833097,33106176365,32177505990,28785443008,28241567804,26201901365,26937506029,30479680630,31930126164,25521895733
哥伦比亚,COL,360292044,475948286,492118042,451119244,433809515,565873203,773381756,762807177,823794430,766932655,692526499,603546789,753151202,689645035
德国,DEU,1.69E+11,1.83E+11,1.59E+11,1.80E+11,2.02E+11,2.03E+11,2.09E+11,2.16E+11,1.99E+11,2.05E+11,1.95E+11,2.10E+11,2.08E+11,1.82E+11
西班牙,ESP,10502552036,11248660487,10374405635,11504349257,13554458645,13768259006,14479326172,14664458378,13109480691,15598981412,14928178627,15483660176,15036520615,15725222494
芬兰,FIN,15796195900,16911188716,8741499892,7052255645,6421361952,5472474967,4694179905,5102532611,4250872208,3966656486,4404742647,4515414673,4563213733,4419533496
加纳,GHA,52516400.45,51875141.06,51233881.67,9147353,23761633,74462160,62181757,96024073,89337078,21056625,41163376,50006668,9928827,44180028.33
洪都拉斯,HND,9813708,21244906.31,15498509,19523512,12063500,16462283.97,16740102.94,44609834,18698692,37759500,45740961,29002647,12597312,33574350.94
伊拉克,IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
意大利,ITA,30020080868,32206090432,27656365243,29262023021,33747082507,29546747479,31874951970,32860989477,30088406392,31085832027,31878137251,32487105781,32548431071,34663650030
利比亚,LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卢森堡,LUX,1411406502,1146674832,1044151971,962856325,1135855717,925028687,743237305,679502822,702202236,811594546,786639671,858269340,790975096,618588974
毛里求斯,MUS,89622259.8,102798711,22748806,6212760,9788104,10637134,6397088,355022,1289246,1053133,28412079,31292622,24298902,20091030
尼日利亚,NGA,66583310.79,72135012.33,47267048,63081914,40532795,77582604,91781821,140224616,495095300,7388348,18315636,41631440,85424676,190326670
葡萄牙,PRT,3502508442,3575390497,1617931053,1498646757,1830256021,1919330026,2135760004,2314838374,2095866078,2457329643,2816236010,2977953200,3594679152,3370854654
新加坡,SGP,1.09E+11,1.24E+11,99666677353,1.32E+11,1.32E+11,1.36E+11,1.43E+11,1.45E+11,1.39E+11,1.35E+11,1.47E+11,1.55E+11,1.50E+11,1.60E+11
撒哈拉以南非洲地区（不包括高收入）,SSA,3.86E+11,2.59E+11,1.32E+11,1.32E+11,4899434093,4604736711,4310039329,3768504397,4155387001,3346258113,2963429781,2906477664,2531533990,2247157653
南亚 (IBRD与IDA),TSA,8644446558,9880270155,11542566752,11032458151,14947240338,14357051346,16059388139,17721684737,19170744834,20619804931,22276793957,23840480343,25404166729,26967853116
乌拉圭,URY,49306191,82005246,81823095,116183372,136348949,198244856,193922906,178779704,273942982,153433875,129215276,120197863,115768291,113421790
美国,USA,2.41E+11,2.43E+11,1.51E+11,1.66E+11,1.66E+11,1.69E+11,1.69E+11,1.76E+11,1.75E+11,1.74E+11,1.55E+11,1.54E+11,1.54E+11,1.42E+11