国家,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
安哥拉,0.15 ,0.15 ,0.14 ,0.17 ,0.13 ,0.13 ,0.13 ,0.13 ,0.14 ,0.15 ,0.16 ,0.16 ,0.16 ,0.17 ,0.16 ,0.16 ,0.18 ,0.15 ,0.19 ,0.15 ,0.23 ,0.24 ,0.20 ,0.19 ,0.23 ,0.30 
阿拉伯联盟国家,0.30 ,0.31 ,0.31 ,0.32 ,0.29 ,0.30 ,0.30 ,0.30 ,0.30 ,0.31 ,0.34 ,0.35 ,0.36 ,0.39 ,0.39 ,0.39 ,0.41 ,0.43 ,0.44 ,0.45 ,0.48 ,0.48 ,0.48 ,0.48 ,0.50 ,0.91 
澳大利亚,0.74 ,0.77 ,0.82 ,0.37 ,0.32 ,0.30 ,0.32 ,0.29 ,0.29 ,0.29 ,0.30 ,0.31 ,0.31 ,0.31 ,0.32 ,0.36 ,0.39 ,0.43 ,0.48 ,0.47 ,0.97 ,1.00 ,0.93 ,0.91 ,0.92 ,0.61 
澳大利亚,0.03 ,0.03 ,0.03 ,0.04 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
巴西,0.65 ,0.66 ,0.64 ,0.62 ,0.66 ,0.57 ,0.66 ,0.67 ,0.67 ,0.68 ,0.71 ,0.60 ,0.75 ,0.80 ,0.80 ,0.62 ,0.85 ,0.86 ,0.87 ,0.88 ,0.91 ,0.89 ,0.88 ,0.87 ,0.87 ,0.83 
加拿大,0.98 ,0.96 ,0.45 ,0.78 ,0.75 ,0.75 ,0.45 ,0.76 ,0.44 ,0.44 ,0.43 ,0.45 ,0.78 ,0.76 ,0.75 ,0.75 ,0.79 ,0.80 ,0.84 ,0.83 ,0.82 ,0.83 ,0.82 ,0.82 ,0.83 ,0.70 
哥伦比亚,0.44 ,0.45 ,0.45 ,0.47 ,0.43 ,0.43 ,0.43 ,0.43 ,0.29 ,0.42 ,0.45 ,0.46 ,0.46 ,0.48 ,0.49 ,0.47 ,0.50 ,0.52 ,0.54 ,0.56 ,0.58 ,0.58 ,0.58 ,0.57 ,0.58 ,0.48 
德国,1.00 ,1.00 ,0.94 ,0.62 ,0.59 ,0.55 ,0.53 ,0.53 ,0.54 ,0.55 ,0.53 ,0.53 ,0.54 ,0.54 ,0.53 ,0.55 ,0.55 ,0.55 ,0.85 ,0.88 ,0.89 ,0.91 ,0.90 ,0.89 ,0.89 ,0.79 
西班牙,0.64 ,0.66 ,0.67 ,0.67 ,0.65 ,0.66 ,0.67 ,0.68 ,0.70 ,0.71 ,0.71 ,0.72 ,0.73 ,0.73 ,0.75 ,0.76 ,0.77 ,0.77 ,0.77 ,0.78 ,0.77 ,0.78 ,0.79 ,0.79 ,0.79 ,0.57 
芬兰,0.94 ,0.99 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.84 
加纳,0.05 ,0.05 ,0.04 ,0.07 ,0.02 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,0.05 ,0.04 ,0.05 ,0.06 ,0.05 ,0.01 ,0.06 ,0.06 ,0.06 ,0.08 ,0.09 ,0.10 ,0.11 ,0.11 ,0.16 ,0.36 
洪都拉斯,0.20 ,0.21 ,0.20 ,0.23 ,0.19 ,0.19 ,0.11 ,0.11 ,0.19 ,0.19 ,0.11 ,0.12 ,0.11 ,0.20 ,0.11 ,0.19 ,0.10 ,0.19 ,0.19 ,0.19 ,0.21 ,0.22 ,0.24 ,0.24 ,0.27 ,0.23 
伊拉克,0.08 ,0.07 ,0.06 ,0.10 ,0.11 ,0.11 ,0.04 ,0.11 ,0.03 ,0.07 ,0.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.02 ,0.02 ,0.02 ,0.07 ,0.10 
意大利,0.68 ,0.68 ,0.70 ,0.69 ,0.66 ,0.65 ,0.65 ,0.66 ,0.69 ,0.71 ,0.70 ,0.70 ,0.71 ,0.70 ,0.70 ,0.69 ,0.68 ,0.67 ,0.66 ,0.65 ,0.64 ,0.64 ,0.65 ,0.65 ,0.66 ,0.52 
利比亚,0.06 ,0.06 ,0.05 ,0.08 ,0.32 ,0.29 ,0.31 ,0.33 ,0.34 ,0.03 ,0.04 ,0.04 ,0.05 ,0.05 ,0.05 ,0.05 ,0.04 ,0.02 ,0.04 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.10 ,0.13 
卢森堡,0.67 ,0.69 ,0.66 ,0.64 ,0.62 ,0.62 ,0.62 ,0.62 ,0.62 ,0.56 ,0.57 ,0.63 ,0.57 ,0.63 ,0.57 ,0.63 ,0.56 ,0.64 ,0.55 ,0.55 ,0.71 ,0.71 ,0.69 ,0.67 ,0.69 ,0.81 
毛里求斯,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.02 ,0.02 ,0.02 ,0.03 ,0.04 ,0.04 ,0.04 ,0.07 ,0.07 ,0.07 ,0.08 ,0.09 ,0.09 ,0.07 ,0.08 ,0.10 ,0.11 ,0.15 ,0.54 
尼日利亚,0.06 ,0.06 ,0.05 ,0.08 ,0.07 ,0.03 ,0.03 ,0.03 ,0.08 ,0.08 ,0.09 ,0.05 ,0.05 ,0.05 ,0.05 ,0.09 ,0.10 ,0.05 ,0.04 ,0.05 ,0.08 ,0.09 ,0.09 ,0.08 ,0.14 ,0.18 
巴拿马,0.38 ,0.39 ,0.22 ,0.44 ,0.41 ,0.43 ,0.42 ,0.41 ,0.43 ,0.41 ,0.41 ,0.42 ,0.41 ,0.41 ,0.41 ,0.40 ,0.40 ,0.41 ,0.21 ,0.43 ,0.46 ,0.48 ,0.28 ,0.27 ,0.31 ,0.40 
葡萄牙,0.37 ,0.38 ,0.16 ,0.42 ,0.39 ,0.41 ,0.41 ,0.42 ,0.43 ,0.43 ,0.42 ,0.42 ,0.43 ,0.44 ,0.45 ,0.46 ,0.47 ,0.47 ,0.46 ,0.47 ,0.44 ,0.45 ,0.46 ,0.47 ,0.50 ,0.31 
新加坡,0.44 ,0.44 ,0.43 ,0.45 ,0.38 ,0.36 ,0.39 ,0.37 ,0.35 ,0.33 ,0.32 ,0.33 ,0.35 ,0.34 ,0.33 ,0.37 ,0.42 ,0.42 ,0.44 ,0.43 ,0.50 ,0.87 ,0.87 ,0.88 ,0.87 ,0.68 
撒哈拉以南非洲地区（不包括高收入）,0.27 ,0.28 ,0.26 ,0.28 ,0.23 ,0.24 ,0.22 ,0.23 ,0.24 ,0.25 ,0.26 ,0.27 ,0.24 ,0.29 ,0.29 ,0.28 ,0.28 ,0.28 ,0.28 ,0.29 ,0.33 ,0.33 ,0.33 ,0.32 ,0.36 ,0.43 
南亚 (IBRD与IDA),0.49 ,0.51 ,0.48 ,0.48 ,0.45 ,0.46 ,0.46 ,0.45 ,0.46 ,0.46 ,0.47 ,0.49 ,0.49 ,0.51 ,0.51 ,0.50 ,0.55 ,0.54 ,0.53 ,0.54 ,0.61 ,0.61 ,0.61 ,0.60 ,0.62 ,1.00 
乌拉圭,0.17 ,0.33 ,0.16 ,0.38 ,0.33 ,0.33 ,0.35 ,0.35 ,0.33 ,0.32 ,0.33 ,0.34 ,0.36 ,0.36 ,0.12 ,0.36 ,0.14 ,0.15 ,0.44 ,0.46 ,0.44 ,0.46 ,0.47 ,0.61 ,0.62 ,0.31 
美国,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 